TWEETID    PREDICTEDVALUE    PROBABILITY    ACTUALVALUE RESULT
439381946939232257    gl    -1.11E+02    es    wrong
439389330533273600    gl    -2.10E+02    es    wrong
439392779786285056    gl    -1.08E+02    es    wrong
439393603845373952    pt    -3.53E+01    es    wrong
439395306464346112    eu    -7.21E+01    eu    correct
439403680245493760    es    -2.79E+01    es    correct
439407703358967808    gl    -2.06E+02    es    wrong
439408603167211520    gl    -1.24E+02    es    wrong
439410377286492160    en    -1.36E+02    es    wrong
439411327971643392    gl    -2.04E+02    es    wrong
439414230413217792    es    -1.39E+02    es    correct
439415113045778432    eu    -3.34E+01    eu    correct
439420783698640896    es    -3.88E+01    es    correct
439428207222484992    es    -2.99E+01    es    correct
439435803983634432    en    -9.07E+01    es    wrong
439437804352057344    ca    -6.41E+01    es    wrong
439438406117232640    gl    -1.00E+02    es    wrong
439449097658195968    gl    -2.08E+02    es    wrong
439455534304210944    es    -8.24E+01    eu    wrong
439460634212970496    gl    -5.40E+01    es    wrong
439461162816905216    gl    -1.31E+02    es    wrong
439461272560877569    es    -6.53E+01    es    correct
439467342360485888    eu    -5.04E+01    en    wrong
439473200100282368    gl    -2.49E+01    es    wrong
439480968534298625    pt    -8.62E+01    es    wrong
439482014878941185    eu    -4.19E+01    es    wrong
439484110122524672    es    -1.16E+02    es    correct
439484501455302657    es    -2.90E+01    es    correct
439487980601106432    gl    -6.16E+01    es    wrong
439498752056123392    gl    -1.79E+02    es    wrong
439503131714797570    gl    -5.79E+01    es    wrong
439504494284800000    eu    -7.19E+01    eu    correct
439505183505387520    es    -7.94E+01    es    correct
439507371220828160    gl    -1.75E+02    es    wrong
439507713610231810    en    -3.87E+01    es    wrong
439513724815421440    gl    -5.01E+01    es    wrong
439516149727117313    en    -1.36E+02    es    wrong
439516952927952897    gl    -7.21E+01    es    wrong
439518973169008640    eu    -9.79E+01    es    wrong
439520703696883713    gl    -1.33E+01    es    wrong
439522984446144512    eu    -7.78E+01    es    wrong
439525439430995968    gl    -8.51E+01    es    wrong
439534259318312960    gl    -1.05E+02    es    wrong
439535499850813441    gl    -5.74E+01    es    wrong
439535613822664704    gl    -1.69E+01    es    wrong
439536938664878080    gl    -1.76E+02    es    wrong
439537235042766848    gl    -1.99E+02    es    wrong
439537999442112512    gl    -5.98E+01    es    wrong
439540887056838656    ca    -8.16E+01    es    wrong
439541111531790336    gl    -1.07E+02    es    wrong
439542604355870720    gl    -2.06E+02    es    wrong
439542606624993280    ca    -7.67E+01    es    wrong
439555042723766272    gl    -1.04E+02    es    wrong
439558368873971712    gl    -1.34E+02    es    wrong
439560861586558976    es    -1.25E+02    es    correct
439567982818525184    es    -4.68E+01    es    correct
439577257435463680    gl    -8.75E+01    es    wrong
439608667051405312    gl    -1.34E+02    es    wrong
439637547665612800    pt    -6.23E+01    es    wrong
439645755952070656    gl    -1.81E+02    es    wrong
439657427320180736    gl    -2.07E+02    es    wrong
439663966571495425    ca    -9.06E+01    es    wrong
439670178251829248    gl    -2.10E+02    es    wrong
439684933595197440    eu    -6.27E+01    es    wrong
439687870098726913    pt    -4.73E+01    es    wrong
439687998012395520    es    -4.23E+01    es    correct
439688683978248192    gl    -1.25E+02    es    wrong
439692909018099712    eu    -2.22E+01    eu    correct
439696075122028544    es    -1.25E+02    es    correct
439697970804834304    es    -6.39E+01    es    correct
439701625616474112    es    -1.58E+01    es    correct
439706164432224256    eu    -6.15E+01    eu    correct
439709342955474944    gl    -1.08E+02    es    wrong
439713198129025024    en    -2.53E+01    es    wrong
439714893332508672    es    -2.14E+01    eu    wrong
439718759201509376    gl    -3.59E+01    es    wrong
439719845756940288    gl    -4.75E+01    es    wrong
439722026287529984    es    -3.35E+01    es    correct
439723376354287616    gl    -2.12E+02    es    wrong
439723585494859777    ca    -9.18E+01    es    wrong
439723745511743488    gl    -4.81E+01    es    wrong
439725940768538624    gl    -3.19E+01    es    wrong
439726309103898624    gl    -1.72E+02    es    wrong
439728314744586240    en    -7.03E+01    es    wrong
439733759790030848    en    -6.15E+01    es    wrong
439734193401397248    ca    -1.94E+01    en    wrong
439735656383012864    gl    -4.80E+01    es    wrong
439739248175226881    gl    -2.94E+01    es    wrong
439741213668020224    es    -1.58E+02    es    correct
439742711311380480    gl    -3.36E+01    es    wrong
439743216196521985    gl    -8.68E+01    es    wrong
439744756328169472    gl    -6.13E+01    es    wrong
439745131479322625    gl    -4.34E+01    es    wrong
439745133052186625    gl    -1.15E+02    es    wrong
439748495395020800    es    -1.45E+02    es    correct
439751898217070592    gl    -1.40E+02    es    wrong
439753018041708546    gl    -2.10E+02    es    wrong
439755659622776832    ca    -3.64E+01    es    wrong
439756762099351552    ca    -1.46E+01    es    wrong
439758392232792064    gl    -4.58E+01    es    wrong
439758892613238784    gl    -1.26E+02    es    wrong
439760308354441217    gl    -1.69E+02    es    wrong
439762722088316929    gl    -3.10E+01    es    wrong
439765878427897856    en    -3.59E+01    es    wrong
439771958402891776    gl    -8.07E+01    es    wrong
439772132441358336    es    -5.00E+01    es    correct
439772487346565121    en    -1.80E+02    en    correct
439772647812263936    pt    -1.06E+02    es    wrong
439772990923079681    gl    -2.03E+02    es    wrong
439774469381709824    gl    -2.74E+01    es    wrong
439777421014102016    eu    -8.95E+01    es    wrong
439778173753249792    pt    -7.53E+01    es    wrong
439778197543321600    es    -4.04E+00    es    correct
439779027084410880    gl    -9.41E+01    es    wrong
439779529671065601    ca    -3.41E+01    es    wrong
439780360181010432    es    -7.20E+01    es    correct
439781041231122432    eu    -1.04E+02    es    wrong
439782848011460609    gl    -1.17E+02    es    wrong
439791245490405376    gl    -2.02E+02    es    wrong
439793773376458753    gl    -1.20E+02    es    wrong
439794545736577024    gl    -1.56E+02    es    wrong
439796156428996608    eu    -1.92E+01    eu    correct
439799132828741632    en    -1.76E+02    en    correct
439803817732091904    gl    -9.49E+01    es    wrong
