TWEETID    PREDICTEDVALUE    PROBABILITY    ACTUALVALUE RESULT
439381946939232257    gl    -1.18E+02    es wrong
439389330533273600    gl    -2.24E+02    es wrong
439392779786285056    gl    -1.13E+02    es wrong
439393603845373952    eu    -3.77E+01    es wrong
439395306464346112    eu    -7.14E+01    eu correct
439403680245493760    eu    -3.02E+01    es wrong
439407703358967808    gl    -2.20E+02    es wrong
439408603167211520    gl    -1.28E+02    es wrong
439410377286492160    eu    -1.46E+02    es wrong
439411327971643392    gl    -2.19E+02    es wrong
439414230413217792    eu    -1.51E+02    es wrong
439415113045778432    eu    -3.26E+01    eu correct
439420783698640896    eu    -4.12E+01    es wrong
439428207222484992    eu    -3.28E+01    es wrong
439435803983634432    gl    -9.66E+01    es wrong
439437804352057344    eu    -6.95E+01    es wrong
439438406117232640    gl    -1.05E+02    es wrong
439449097658195968    gl    -2.21E+02    es wrong
439455534304210944    eu    -8.23E+01    eu correct
439460634212970496    eu    -5.58E+01    es wrong
439461162816905216    gl    -1.37E+02    es wrong
439461272560877569    es    -7.19E+01    es correct
439467342360485888    eu    -5.10E+01    en wrong
439473200100282368    gl    -2.64E+01    es wrong
439480968534298625    eu    -9.29E+01    es wrong
439482014878941185    eu    -4.38E+01    es wrong
439484110122524672    es    -1.31E+02    es correct
439484501455302657    es    -3.13E+01    es correct
439487980601106432    gl    -6.56E+01    es wrong
439498752056123392    eu    -1.90E+02    es wrong
439503131714797570    gl    -6.16E+01    es wrong
439504494284800000    eu    -7.32E+01    eu correct
439505183505387520    es    -8.03E+01    es correct
439507371220828160    gl    -1.89E+02    es wrong
439507713610231810    en    -4.25E+01    es wrong
439513724815421440    gl    -5.03E+01    es wrong
439516149727117313    en    -1.46E+02    es wrong
439516952927952897    gl    -7.57E+01    es wrong
439518973169008640    eu    -9.93E+01    es wrong
439520703696883713    gl    -1.34E+01    es wrong
439522984446144512    eu    -7.74E+01    es wrong
439525439430995968    gl    -8.50E+01    es wrong
439534259318312960    gl    -1.13E+02    es wrong
439535499850813441    gl    -5.77E+01    es wrong
439535613822664704    gl    -1.75E+01    es wrong
439536938664878080    gl    -1.87E+02    es wrong
439537235042766848    gl    -2.07E+02    es wrong
439537999442112512    gl    -6.01E+01    es wrong
439540887056838656    gl    -8.61E+01    es wrong
439541111531790336    gl    -1.14E+02    es wrong
439542604355870720    gl    -2.21E+02    es wrong
